date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
02:50:19	17934/17934	---M--	200	added ('OK')	text/html	etag:%220x8DDD5D555DDC1ED%22	https://ios7thaugust3b.z13.web.core.windows.net/	C:/My%20Web%20Sites/final/ios7thaugust3b.z13.web.core.windows.net/index.html	(from )
02:50:19	106/106	---M--	200	added ('OK')	text/plain	etag:%220x8DDD5D555E6E85E%22	https://ios7thaugust3b.z13.web.core.windows.net/robots.txt		(from )
02:50:19	2123/2123	---MCZ	200	added ('OK')	application/x-javascript	etag:W/%22stable-v4-6880b98ef42%22	https://embed.tawk.to/68500578b426fa191953cf54/1its9aofu	C:/My%20Web%20Sites/final/embed.tawk.to/68500578b426fa191953cf54/1its9aofu.js	(from https://ios7thaugust3b.z13.web.core.windows.net/)
02:50:20	20/20	---MCZ	404	error ('Not%20Found')	application/x-javascript	date:Thu,%2007%20Aug%202025%2021:17:02%20GMT	https://embed.tawk.to/robots.txt		(from https://ios7thaugust3b.z13.web.core.windows.net/)
02:50:21	82913/82913	---MCZ	200	added ('OK')	application/javascript	etag:W/%223b341e35b39f6195793ecaf5db7c1d63%22	https://embed.tawk.to/_s/v4/app/6880b98ef42/js/twk-vendor.js	C:/My%20Web%20Sites/final/embed.tawk.to/_s/v4/app/6880b98ef42/js/twk-vendor.js	(from https://embed.tawk.to/68500578b426fa191953cf54/1its9aofu)
02:50:21	324017/324017	---MCZ	200	added ('OK')	application/javascript	etag:W/%22a7187987440ee544ae011125a0c9ee40%22	https://embed.tawk.to/_s/v4/app/6880b98ef42/js/twk-chunk-vendors.js	C:/My%20Web%20Sites/final/embed.tawk.to/_s/v4/app/6880b98ef42/js/twk-chunk-vendors.js	(from https://embed.tawk.to/68500578b426fa191953cf54/1its9aofu)
02:50:21	238742/238742	---MCZ	200	added ('OK')	application/javascript	etag:W/%229c9de45502eefb0e53a176e6afa25477%22	https://embed.tawk.to/_s/v4/app/6880b98ef42/js/twk-chunk-common.js	C:/My%20Web%20Sites/final/embed.tawk.to/_s/v4/app/6880b98ef42/js/twk-chunk-common.js	(from https://embed.tawk.to/68500578b426fa191953cf54/1its9aofu)
02:50:21	2306/2306	---MCZ	200	added ('OK')	application/javascript	etag:W/%2280c06e95c7ffc96eed83d9c05d0f11ea%22	https://embed.tawk.to/_s/v4/app/6880b98ef42/js/twk-runtime.js	C:/My%20Web%20Sites/final/embed.tawk.to/_s/v4/app/6880b98ef42/js/twk-runtime.js	(from https://embed.tawk.to/68500578b426fa191953cf54/1its9aofu)
02:50:21	151/151	---MCZ	200	added ('OK')	application/javascript	etag:W/%22e736e189edb5d0d9d5b8e7f23dd9114a%22	https://embed.tawk.to/_s/v4/app/6880b98ef42/js/twk-app.js	C:/My%20Web%20Sites/final/embed.tawk.to/_s/v4/app/6880b98ef42/js/twk-app.js	(from https://embed.tawk.to/68500578b426fa191953cf54/1its9aofu)
02:50:22	162/162	---MCZ	200	added ('OK')	application/javascript	etag:W/%227d790b2d0b1dcafc003d54f28b46e47e%22	https://embed.tawk.to/_s/v4/app/6880b98ef42/js/twk-promise-polyfill.js	C:/My%20Web%20Sites/final/embed.tawk.to/_s/v4/app/6880b98ef42/js/twk-promise-polyfill.js	(from https://embed.tawk.to/68500578b426fa191953cf54/1its9aofu)
02:50:22	163/163	---MCZ	200	added ('OK')	application/javascript	etag:W/%22958203f229b25ae49c07317d6f988be4%22	https://embed.tawk.to/_s/v4/app/6880b98ef42/js/twk-iterator-polyfill.js	C:/My%20Web%20Sites/final/embed.tawk.to/_s/v4/app/6880b98ef42/js/twk-iterator-polyfill.js	(from https://embed.tawk.to/68500578b426fa191953cf54/1its9aofu)
02:50:24	11855/11855	---MC-	520	error ('Unknown%20error')	text/html	date:Thu,%2007%20Aug%202025%2021:17:05%20GMT	https://embed.tawk.to/_s/v4/app/6880b98ef42/js/twk-entries-polyfill.js	C:/My%20Web%20Sites/final/embed.tawk.to/_s/v4/app/6880b98ef42/js/twk-entries-polyfill.js	(from https://embed.tawk.to/68500578b426fa191953cf54/1its9aofu)
02:50:24	346/346	---MCZ	200	added ('OK')	application/javascript	etag:W/%222bcec2a702735da1e44f504827c8ffb8%22	https://embed.tawk.to/_s/v4/app/6880b98ef42/js/twk-event-polyfill.js	C:/My%20Web%20Sites/final/embed.tawk.to/_s/v4/app/6880b98ef42/js/twk-event-polyfill.js	(from https://embed.tawk.to/68500578b426fa191953cf54/1its9aofu)
02:50:24	166/166	---MCZ	200	added ('OK')	application/javascript	etag:W/%22b92b11bd617fc3c0bc031533f22b6fea%22	https://embed.tawk.to/_s/v4/app/6880b98ef42/js/twk-object-values-polyfill.js	C:/My%20Web%20Sites/final/embed.tawk.to/_s/v4/app/6880b98ef42/js/twk-object-values-polyfill.js	(from https://embed.tawk.to/68500578b426fa191953cf54/1its9aofu)
02:50:24	173/173	---MCZ	200	added ('OK')	application/javascript	etag:W/%22effae9591bd0378fc02614a21c92a90c%22	https://embed.tawk.to/_s/v4/app/6880b98ef42/js/twk-arr-find-polyfill.js	C:/My%20Web%20Sites/final/embed.tawk.to/_s/v4/app/6880b98ef42/js/twk-arr-find-polyfill.js	(from https://embed.tawk.to/68500578b426fa191953cf54/1its9aofu)
